inventory_id,sku,location,on_hand,safety_stock
1,10001,Main Store,40,40
2,10002,Main Store,70,28
3,10003,Main Store,45,12
4,10004,Main Store,45,10
5,10005,Main Store,50,18
6,10006,Main Store,35,36
7,10007,Main Store,55,22
8,10008,Main Store,45,16
9,10009,Main Store,0,14
10,10010,Main Store,80,24
11,10011,Main Store,90,14
12,10012,Main Store,70,10
13,10013,Main Store,80,18
14,10014,Main Store,55,12
15,10015,Main Store,60,8
16,10016,Main Store,100,16
17,10017,Main Store,60,10
18,10018,Main Store,60,32
19,10019,Main Store,80,20
20,10020,Main Store,70,14
21,10021,Main Store,60,10
22,10022,Main Store,45,6
23,10023,Main Store,35,26
24,10024,Main Store,70,16
25,10025,Main Store,60,14
26,10026,Main Store,0,30
27,10027,Main Store,70,18
28,10028,Main Store,50,12
29,10029,Main Store,75,16
30,10030,Main Store,80,10
