sales_id,sku,sale_date,units_sold
1,10001,2026-07-27,22
2,10001,2026-07-28,20
3,10001,2026-07-29,25
4,10001,2026-07-30,22
5,10001,2026-07-31,17
6,10001,2026-08-01,19
7,10001,2026-08-02,14
8,10001,2026-08-03,23
9,10001,2026-08-04,17
10,10001,2026-08-05,25
11,10001,2026-08-06,22
12,10001,2026-08-07,18
13,10001,2026-08-08,16
14,10001,2026-08-09,17
15,10001,2026-08-10,25
16,10001,2026-08-11,18
17,10001,2026-08-12,22
18,10001,2026-08-13,24
19,10001,2026-08-14,24
20,10001,2026-08-15,18
21,10001,2026-08-16,22
22,10001,2026-08-17,21
23,10001,2026-08-18,29
24,10001,2026-08-19,24
25,10001,2026-08-20,24
26,10001,2026-08-21,25
27,10001,2026-08-22,24
28,10001,2026-08-23,20
29,10001,2026-08-24,30
30,10001,2026-08-25,25
31,10002,2026-07-27,15
32,10002,2026-07-28,15
33,10002,2026-07-29,14
34,10002,2026-07-30,16
35,10002,2026-07-31,16
36,10002,2026-08-01,13
37,10002,2026-08-02,9
38,10002,2026-08-03,12
39,10002,2026-08-04,17
40,10002,2026-08-05,12
41,10002,2026-08-06,14
42,10002,2026-08-07,12
43,10002,2026-08-08,11
44,10002,2026-08-09,9
45,10002,2026-08-10,15
46,10002,2026-08-11,15
47,10002,2026-08-12,15
48,10002,2026-08-13,15
49,10002,2026-08-14,12
50,10002,2026-08-15,9
51,10002,2026-08-16,11
52,10002,2026-08-17,12
53,10002,2026-08-18,16
54,10002,2026-08-19,16
55,10002,2026-08-20,14
56,10002,2026-08-21,14
57,10002,2026-08-22,11
58,10002,2026-08-23,12
59,10002,2026-08-24,15
60,10002,2026-08-25,12
61,10003,2026-07-27,7
62,10003,2026-07-28,6
63,10003,2026-07-29,7
64,10003,2026-07-30,7
65,10003,2026-07-31,6
66,10003,2026-08-01,4
67,10003,2026-08-02,4
68,10003,2026-08-03,7
69,10003,2026-08-04,5
70,10003,2026-08-05,7
71,10003,2026-08-06,5
72,10003,2026-08-07,6
73,10003,2026-08-08,4
74,10003,2026-08-09,4
75,10003,2026-08-10,6
76,10003,2026-08-11,7
77,10003,2026-08-12,7
78,10003,2026-08-13,6
79,10003,2026-08-14,7
80,10003,2026-08-15,5
81,10003,2026-08-16,4
82,10003,2026-08-17,5
83,10003,2026-08-18,6
84,10003,2026-08-19,6
